대여소명,자치구,lat,long,LCD거치대수,text
현대고등학교 건너편,강남구,37.524071,127.02179,10.0,현대고등학교 건너편 (강남구)<br>거치대 수: 10.0
교보타워 버스정류장(신논현역 3번출구 후면),강남구,37.505581,127.024277,10.0,교보타워 버스정류장(신논현역 3번출구 후면) (강남구)<br>거치대 수: 10.0
논현역 7번출구,강남구,37.511517,127.021477,15.0,논현역 7번출구 (강남구)<br>거치대 수: 15.0
신영 ROYAL PALACE 앞,강남구,37.512527,127.035835,10.0,신영 ROYAL PALACE 앞 (강남구)<br>거치대 수: 10.0
MCM 본사 직영점 앞,강남구,37.520641,127.034508,10.0,MCM 본사 직영점 앞 (강남구)<br>거치대 수: 10.0
압구정역 2번 출구 옆,강남구,37.527122,127.028717,30.0,압구정역 2번 출구 옆 (강남구)<br>거치대 수: 30.0
압구정 한양 3차 아파트,강남구,37.528614,127.038559,10.0,압구정 한양 3차 아파트 (강남구)<br>거치대 수: 10.0
압구정파출소 앞,강남구,37.529301,127.035599,14.0,압구정파출소 앞 (강남구)<br>거치대 수: 14.0
청담역(우리들병원 앞),강남구,37.518902,127.049385,10.0,청담역(우리들병원 앞) (강남구)<br>거치대 수: 10.0
청담동 맥도날드 옆(위치),강남구,37.523613,127.040176,10.0,청담동 맥도날드 옆(위치) (강남구)<br>거치대 수: 10.0
학동로 래미안 아파트 앞,강남구,37.517773,127.043022,10.0,학동로 래미안 아파트 앞 (강남구)<br>거치대 수: 10.0
청담역 13번 출구 앞,강남구,37.52058,127.056328,10.0,청담역 13번 출구 앞 (강남구)<br>거치대 수: 10.0
금원빌딩 앞,강남구,37.525116,127.052467,10.0,금원빌딩 앞 (강남구)<br>거치대 수: 10.0
청담나들목입구,강남구,37.521275,127.061035,10.0,청담나들목입구 (강남구)<br>거치대 수: 10.0
봉은사역 5번출구 옆,강남구,37.514248,127.061119,10.0,봉은사역 5번출구 옆 (강남구)<br>거치대 수: 10.0
삼성역 8번출구,강남구,37.509575,127.063408,20.0,삼성역 8번출구 (강남구)<br>거치대 수: 20.0
삼성도로공원,강남구,37.515888,127.0662,10.0,삼성도로공원 (강남구)<br>거치대 수: 10.0
삼성중앙역4번출구(문화센터더 리빌),강남구,37.513577,127.055031,15.0,삼성중앙역4번출구(문화센터더 리빌) (강남구)<br>거치대 수: 15.0
포스코4거리 서측(수협 삼성동 지점),강남구,37.506607,127.05468,10.0,포스코4거리 서측(수협 삼성동 지점) (강남구)<br>거치대 수: 10.0
도곡역 대치지구대 방향,강남구,37.491928,127.056969,10.0,도곡역 대치지구대 방향 (강남구)<br>거치대 수: 10.0
학여울역 사거리,강남구,37.496117,127.069443,10.0,학여울역 사거리 (강남구)<br>거치대 수: 10.0
삼성역 3번 출구,강남구,37.508091,127.063103,15.0,삼성역 3번 출구 (강남구)<br>거치대 수: 15.0
주식회사 오뚜기 정문 앞,강남구,37.502213,127.067207,10.0,주식회사 오뚜기 정문 앞 (강남구)<br>거치대 수: 10.0
천주교 대치 2동 교회 옆,강남구,37.500439,127.066223,10.0,천주교 대치 2동 교회 옆 (강남구)<br>거치대 수: 10.0
대치동 버거킹대치점,강남구,37.49865,127.059319,10.0,대치동 버거킹대치점 (강남구)<br>거치대 수: 10.0
대치동 삼성로,강남구,37.502396,127.0588,10.0,대치동 삼성로 (강남구)<br>거치대 수: 10.0
뱅뱅사거리 랜드마크타워 앞,강남구,37.490551,127.031464,15.0,뱅뱅사거리 랜드마크타워 앞 (강남구)<br>거치대 수: 15.0
르네상스 호텔 사거리 역삼지하보도 7번출구 앞,강남구,37.503586,127.042641,10.0,르네상스 호텔 사거리 역삼지하보도 7번출구 앞 (강남구)<br>거치대 수: 10.0
르네상스호텔사거리 역삼지하보도 2번출구,강남구,37.502357,127.04319,10.0,르네상스호텔사거리 역삼지하보도 2번출구 (강남구)<br>거치대 수: 10.0
스타벅스 앞,강남구,37.492199,127.039459,10.0,스타벅스 앞 (강남구)<br>거치대 수: 10.0
동영문화센터앞,강남구,37.498051,127.044601,20.0,동영문화센터앞 (강남구)<br>거치대 수: 20.0
선릉역3번출구,강남구,37.504208,127.048965,15.0,선릉역3번출구 (강남구)<br>거치대 수: 15.0
양재역 3번출구 주변,강남구,37.485157,127.034073,15.0,양재역 3번출구 주변 (강남구)<br>거치대 수: 15.0
삼호아파트 2동 ( 간선도로),강남구,37.493759,127.045898,15.0,삼호아파트 2동 ( 간선도로) (강남구)<br>거치대 수: 15.0
3호선 매봉역 3번출구앞,강남구,37.486767,127.046761,10.0,3호선 매봉역 3번출구앞 (강남구)<br>거치대 수: 10.0
강남세브란스교차로 래미안그레이튼 104동 앞,강남구,37.494236,127.047462,10.0,강남세브란스교차로 래미안그레이튼 104동 앞 (강남구)<br>거치대 수: 10.0
대모산입구역 2번출구 앞,강남구,37.492077,127.071976,15.0,대모산입구역 2번출구 앞 (강남구)<br>거치대 수: 15.0
현대아파트 정문 앞,강남구,37.483261,127.052299,10.0,현대아파트 정문 앞 (강남구)<br>거치대 수: 10.0
삼호물산버스정류장(23370) 옆,강남구,37.477509,127.045174,15.0,삼호물산버스정류장(23370) 옆 (강남구)<br>거치대 수: 15.0
일원역 4~5번 출구 사이,강남구,37.483311,127.084938,10.0,일원역 4~5번 출구 사이 (강남구)<br>거치대 수: 10.0
대청역 1번출구 뒤,강남구,37.494007,127.079514,10.0,대청역 1번출구 뒤 (강남구)<br>거치대 수: 10.0
세곡사거리 대왕파출소 앞,강남구,37.465317,127.107727,10.0,세곡사거리 대왕파출소 앞 (강남구)<br>거치대 수: 10.0
리엔파크 2단지 앞,강남구,37.465061,127.101196,10.0,리엔파크 2단지 앞 (강남구)<br>거치대 수: 10.0
두산건설 본사,강남구,37.518639,127.0354,15.0,두산건설 본사 (강남구)<br>거치대 수: 15.0
포스코사거리(기업은행),강남구,37.507233,127.056854,20.0,포스코사거리(기업은행) (강남구)<br>거치대 수: 20.0
역삼빌딩 앞(하나은행 옆),강남구,37.501545,127.038567,10.0,역삼빌딩 앞(하나은행 옆) (강남구)<br>거치대 수: 10.0
래미안그레이튼102동앞,강남구,37.494823,127.047905,10.0,래미안그레이튼102동앞 (강남구)<br>거치대 수: 10.0
청소년수련관(수영장)앞,강남구,37.483879,127.089027,15.0,청소년수련관(수영장)앞 (강남구)<br>거치대 수: 15.0
서울본부세관(건설회관 앞),강남구,37.51759,127.035027,10.0,서울본부세관(건설회관 앞) (강남구)<br>거치대 수: 10.0
강남구청역 2번출구 뒤,강남구,37.516811,127.040474,10.0,강남구청역 2번출구 뒤 (강남구)<br>거치대 수: 10.0
청담역 2번출구,강남구,37.519787,127.056763,5.0,청담역 2번출구 (강남구)<br>거치대 수: 5.0
삼성역 5~6번 출구 사이,강남구,37.509121,127.062309,25.0,삼성역 5~6번 출구 사이 (강남구)<br>거치대 수: 25.0
강남구청,강남구,37.51807,127.047119,10.0,강남구청 (강남구)<br>거치대 수: 10.0
