,col_1,행정동,세대수,등록인구,등록인구(남),등록인구(여),여성비율,한국인,한국인(남),한국인(여),외국인,외국인(남),외국인(여),외국인비율,세대당인구,65세이상고령자,평균연령,인구밀도 (명/㎢),면적 (㎢),대학교 수,가로등 수,보안등 수,전체 CCTV수(어린이보호 제외),상가 수,일반 유흥 주점,생활방범 CCTV 수,범죄발생수(유동인구기준),범죄발생수(면적기준),강력범죄,절도범죄,폭력범죄,치안기관,유흥업소 수,초등학교 수,"중,고등학교 수",어린이용 CCTV 수,안전비상벨 수,요리 주점,입시·교과학원,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수
0,중구,소계,40749,80965,38815,42150,0.520595319,80199,38460,41739,766,355,411,0.009460878,1.97,16107,44.4,11468,7.06,0,0,0,0,0,0,0,2606.0,2606.0,221,1236,1149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
1,중구,동인동,4636,7676,3824,3852,0.501823867,7579,3782,3797,97,42,55,0.01263679,1.63,1886,48.2,7754,0.99,0,637,171,159,1031,3,135,247.0654727,365.4305949,221,1236,1149,2.5,0.5494505494505495,2.0,0.0,1.7543859649122808,0.5555555555555556,1.9298245614035086,0.10948905109489052,,0.0,7.741935483870967
2,중구,삼덕동,4090,6499,3082,3417,0.525773196,6405,3037,3368,94,45,49,0.014463764,1.57,862,39.7,10155,0.64,0,210,209,147,1472,18,124,209.1816711,236.2379603,221,1236,1149,0.0,3.736263736263737,4.0,0.0,3.1578947368421053,1.9444444444444444,9.12280701754386,0.10948905109489052,,0.0,7.419354838709676
3,중구,성내1동,3403,4887,2345,2542,0.520155515,4805,2305,2500,82,40,42,0.01677921,1.41,838,42.6,5430,0.9,0,242,217,171,3262,8,150,157.2966343,332.2096317,221,1236,1149,0.0,1.098901098901099,4.0,1.4285714285714286,2.1052631578947367,0.8333333333333334,7.280701754385964,0.583941605839416,,0.0,6.774193548387097
4,중구,성내2동,2950,4765,2405,2360,0.495278069,4654,2347,2307,111,58,53,0.023294858,1.58,1139,47.0,6270,0.76,0,339,198,186,2533,20,155,153.3698512,280.5325779,221,1236,1149,10.0,2.6373626373626378,2.0,2.857142857142857,1.5789473684210527,0.5555555555555556,3.947368421052631,0.14598540145985403,,0.9090909090909092,8.064516129032258
5,중구,성내3동,2306,4887,2445,2442,0.499693063,4847,2422,2425,40,23,17,0.008184981,2.1,869,42.6,6186,0.79,0,497,132,164,373,2,147,157.2966343,291.6062323,221,1236,1149,2.5,0.21978021978021983,2.0,0.0,2.6315789473684212,0.5555555555555556,0.08771929824561409,0.18248175182481752,,0.30303030303030304,4.838709677419354
6,중구,대신동,3215,7515,3654,3861,0.513772455,7494,3648,3846,21,6,15,0.002794411,2.33,1489,44.6,14452,0.52,0,124,209,70,2630,3,56,241.8834064,191.9433428,221,1236,1149,0.0,0.3296703296703297,2.0,1.4285714285714286,1.5789473684210527,0.5555555555555556,0.17543859649122795,0.21897810218978103,,0.0,4.516129032258064
7,중구,남산1동,2565,4509,2154,2355,0.522288756,4455,2128,2327,54,26,28,0.011976048,1.74,970,45.8,11562,0.39,0,147,139,73,644,3,55,145.1300438,143.9575071,221,1236,1149,0.0,0.3296703296703297,2.0,1.4285714285714286,1.4035087719298245,0.8333333333333334,0.5263157894736841,0.25547445255474455,,0.0,5.806451612903226
8,중구,남산2동,3116,6877,3270,3607,0.524501963,6827,3241,3586,50,29,21,0.007270612,2.19,1155,41.9,18097,0.38,0,158,103,80,558,0,58,221.3482616,140.266289,221,1236,1149,2.5,0.10989010989010992,2.0,0.0,1.5789473684210527,0.0,0.26315789473684204,0.25547445255474455,,0.0,7.096774193548387
9,중구,남산3동,2849,6501,3000,3501,0.538532533,6460,2988,3472,41,12,29,0.006306722,2.27,1494,46.5,16253,0.4,0,98,152,114,301,0,83,209.2460446,147.6487252,221,1236,1149,0.0,0.0,0.0,2.857142857142857,2.982456140350877,0.2777777777777778,0.17543859649122795,0.14598540145985403,,0.0,10.0
