col_1,행정동,세대수,등록인구,등록인구(남),등록인구(여),한국인,한국인(남),한국인(여),외국인,외국인(남),외국인(여),세대당인구,65세이상고령자,평균연령,인구밀도 (명/㎢),면적 (㎢),치안기관,유흥업소 수,초등학교 수,"중,고등학교 수",대학교 수,가로등 수,보안등 수,어린이용 CCTV 수,전체 CCTV수(어린이보호 제외),안전비상벨 수,상가 수,요리 주점,일반 유흥 주점,입시·교과학원,생활방범 CCTV 수,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수,범죄발생수(유동인구기준),범죄발생수(면적기준),강력범죄,절도범죄,폭력범죄
중구,소계,40749,80965,38815,42150,80199,38460,41739,766,355,411,1.97,16107,44.4,11468,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2606,2606,221,1236,1149
중구,동인동,4636,7676,3824,3852,7579,3782,3797,97,42,55,1.63,1886,48.2,7754,0.99,1,5,1,0,0,637,171,10,159,2,1031,22,3,3,135,,0,24,247.0654727,365.4305949,221,1236,1149
중구,삼덕동,4090,6499,3082,3417,6405,3037,3368,94,45,49,1.57,862,39.7,10155,0.64,0,34,2,0,0,210,209,18,147,7,1472,104,18,3,124,,0,23,209.1816711,236.2379603,221,1236,1149
중구,성내1동,3403,4887,2345,2542,4805,2305,2500,82,40,42,1.41,838,42.6,5430,0.9,0,10,2,1,0,242,217,12,171,3,3262,83,8,16,150,,0,21,157.2966343,332.2096317,221,1236,1149
중구,성내2동,2950,4765,2405,2360,4654,2347,2307,111,58,53,1.58,1139,47,6270,0.76,4,24,1,2,0,339,198,9,186,2,2533,45,20,4,155,,6,25,153.3698512,280.5325779,221,1236,1149
중구,성내3동,2306,4887,2445,2442,4847,2422,2425,40,23,17,2.1,869,42.6,6186,0.79,1,2,1,0,0,497,132,15,164,2,373,1,2,5,147,,2,15,157.2966343,291.6062323,221,1236,1149
중구,대신동,3215,7515,3654,3861,7494,3648,3846,21,6,15,2.33,1489,44.6,14452,0.52,0,3,1,1,0,124,209,9,70,2,2630,2,3,6,56,,0,14,241.8834064,191.9433428,221,1236,1149
중구,남산1동,2565,4509,2154,2355,4455,2128,2327,54,26,28,1.74,970,45.8,11562,0.39,0,3,1,1,0,147,139,8,73,3,644,6,3,7,55,,0,18,145.1300438,143.9575071,221,1236,1149
중구,남산2동,3116,6877,3270,3607,6827,3241,3586,50,29,21,2.19,1155,41.9,18097,0.38,1,1,1,0,0,158,103,9,80,0,558,3,0,7,58,,0,22,221.3482616,140.266289,221,1236,1149
중구,남산3동,2849,6501,3000,3501,6460,2988,3472,41,12,29,2.27,1494,46.5,16253,0.4,0,0,0,2,0,98,152,17,114,1,301,2,0,4,83,,0,31,209.2460446,147.6487252,221,1236,1149
중구,남산4동,5993,14313,6711,7602,14278,6699,7579,35,12,23,2.38,2984,44.6,31807,0.45,0,0,0,0,0,130,320,12,93,3,370,3,0,17,81,,0,12,460.688915,166.1048159,221,1236,1149
중구,대봉1동,3504,7818,3648,4170,7701,3598,4103,117,50,67,2.2,1583,44.9,13251,0.59,0,0,0,2,0,342,28,2,81,0,1078,36,1,5,64,,0,17,251.6359909,217.7818697,221,1236,1149
중구,대봉2동,2122,4718,2277,2441,4694,2265,2429,24,12,12,2.21,838,43.6,18872,0.25,0,3,0,0,0,98,79,0,61,0,290,5,1,0,49,,0,12,151.857074,92.28045326,221,1236,1149
